participant,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7,pair_8,pair_9,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25,pair_26,pair_27,pair_28,pair_29
31,90,47,390,343,93,273,190,43,327,413,263,64,393,55,339,23,207,139,377,392,323,302,337,89,128,94,125,118,84
32,166,427,33,206,113,429,435,285,191,163,224,140,12,44,121,350,115,394,419,216,225,160,420,338,97,266,271,203,286
33,106,256,16,251,223,176,205,157,368,65,75,147,83,243,71,53,386,425,1,151,309,356,35,428,169,293,51,189,342
34,9,280,325,194,371,330,36,359,11,272,20,132,354,360,404,204,39,366,158,424,109,219,114,227,7,362,14,72,373
35,32,202,312,310,375,66,102,407,431,349,153,187,45,127,237,346,196,178,138,326,79,80,253,173,298,278,332,296,8
36,35,189,386,251,147,205,51,309,1,293,75,65,169,176,157,243,256,425,16,71,106,53,151,83,223,428,342,368,356
37,146,215,297,408,177,181,416,105,313,418,31,319,396,175,123,34,152,136,161,3,117,221,149,199,295,232,208,108,365
38,112,73,131,387,222,27,363,238,389,54,186,74,347,133,86,214,341,42,63,156,201,252,60,376,254,182,383,240,69
39,95,432,249,171,120,275,212,414,76,197,15,299,316,361,401,165,335,174,52,5,255,410,267,333,250,126,282,270,364
40,23,323,337,207,339,43,64,118,263,84,47,413,390,273,94,90,393,89,128,302,343,93,327,55,139,190,377,125,392
41,15,335,95,299,361,197,316,165,414,255,76,126,410,171,174,432,364,250,249,267,212,52,333,120,5,275,282,270,401
42,213,306,82,135,10,168,87,49,164,261,311,40,159,260,58,395,230,236,179,334,308,229,235,268,142,367,130,422,119
43,431,173,237,66,80,310,332,253,202,349,312,153,298,138,102,187,8,346,196,296,127,407,326,278,32,79,375,45,178
44,352,430,409,183,398,351,155,388,279,220,284,320,96,92,265,56,154,294,328,257,382,283,314,129,405,415,324,397,210
45,51,147,223,256,157,65,386,293,106,169,243,428,16,189,356,83,151,309,35,75,342,53,368,71,1,176,205,251,425
46,157,75,428,309,356,223,425,205,35,251,342,1,256,151,51,243,71,386,169,53,189,65,106,176,16,83,368,293,147
47,393,23,89,90,207,139,43,125,263,390,327,55,302,64,190,392,47,323,339,337,273,94,413,128,343,118,377,93,84
48,138,102,237,173,332,349,79,312,375,196,127,153,8,202,80,45,298,407,296,66,178,187,310,278,32,253,431,326,346
49,95,333,174,15,275,364,52,212,126,316,249,414,410,76,5,250,432,270,335,282,267,299,171,255,165,120,401,361,197
50,395,236,260,10,230,49,229,311,87,261,334,40,235,168,82,306,367,268,159,130,119,308,142,179,422,58,135,213,164
51,360,204,354,7,109,158,424,330,114,371,280,132,20,404,9,359,325,39,272,366,373,227,11,219,362,72,194,36,14
52,433,264,62,30,144,59,184,358,4,217,369,145,289,353,226,148,380,355,218,421,195,6,50,150,192,239,110,262,315
53,65,293,75,223,342,151,428,53,386,205,157,169,1,35,251,176,71,106,425,356,51,83,368,147,309,16,243,256,189
54,246,99,290,61,57,101,304,340,116,305,134,412,124,26,170,331,281,122,21,258,384,234,180,70,48,370,417,185,406
55,62,150,50,144,148,192,262,289,110,145,184,358,355,226,421,369,315,380,4,59,433,239,353,30,6,264,218,217,195
56,71,1,16,205,157,147,151,83,106,65,189,251,386,169,356,368,243,51,35,75,309,256,428,53,293,176,425,342,223
57,11,272,373,132,366,424,9,20,39,14,371,219,109,204,7,72,325,280,362,404,36,354,114,360,158,359,194,227,330
58,69,182,387,201,363,133,252,73,60,341,54,383,131,222,156,112,86,347,238,63,254,186,214,389,240,376,27,74,42
59,394,216,420,338,121,191,224,166,266,160,350,140,115,206,435,419,33,203,271,12,113,285,286,163,429,225,427,97,44
60,118,339,327,273,343,128,47,393,263,323,302,207,337,23,139,392,84,89,190,413,94,390,125,377,55,64,90,43,93
61,103,28,300,88,193,77,301,344,434,209,18,336,303,13,107,38,29,137,141,391,345,104,25,274,423,143,68,248,228
62,262,145,353,110,50,355,315,217,195,148,433,226,184,30,369,218,4,264,6,144,358,62,150,421,59,239,289,192,380
63,244,22,321,188,167,24,100,329,277,172,402,348,317,318,78,247,198,242,231,17,37,426,41,276,91,85,241,245,292
64,238,60,347,383,156,363,387,222,74,240,252,54,42,69,201,186,27,86,254,182,133,131,63,341,112,73,376,214,389
65,338,163,420,350,271,266,44,285,121,419,97,160,166,225,286,113,12,203,33,216,427,435,224,140,191,115,206,429,394
66,230,334,260,261,311,422,229,268,135,159,308,130,142,168,179,87,49,164,40,82,306,395,367,235,10,213,119,58,236
67,70,101,124,61,258,57,99,122,116,370,48,384,134,281,412,185,331,180,305,234,26,290,340,417,304,246,406,21,170
68,140,97,121,394,285,419,224,350,427,271,225,44,166,163,113,435,216,420,286,429,12,160,266,115,191,203,206,33,338
69,211,378,399,288,374,259,46,98,233,379,291,162,200,385,372,19,2,307,287,111,81,357,269,381,67,400,322,411,403
70,334,311,130,142,82,49,306,230,260,179,367,10,308,58,159,164,40,229,87,261,395,168,235,119,213,135,422,236,268
71,155,154,415,409,397,328,129,324,382,257,220,92,283,183,210,320,56,352,351,279,284,405,96,398,294,388,265,430,314
72,383,214,69,27,389,222,42,254,63,201,387,240,133,341,376,74,156,363,186,86,131,54,347,60,182,112,252,238,73
73,56,294,397,92,409,154,257,283,284,430,388,382,96,415,155,351,129,183,352,279,324,220,265,314,398,405,210,328,320
74,116,26,305,170,122,406,48,101,412,21,290,246,234,134,61,185,180,70,340,417,370,384,124,331,99,304,258,57,281
75,99,304,417,406,331,57,21,290,134,384,170,124,340,370,48,258,305,281,412,101,116,246,180,185,234,122,61,26,70
76,433,144,195,59,369,6,289,353,264,145,421,355,358,62,50,30,110,148,315,150,262,226,4,239,380,192,184,217,218
77,221,136,408,418,365,208,3,152,123,416,295,199,396,149,177,181,105,117,31,146,108,319,34,175,232,215,161,297,313
78,61,180,122,305,246,70,124,417,134,234,304,57,21,384,340,170,258,101,26,406,99,370,331,290,116,281,412,185,48
79,41,78,188,85,426,292,276,329,91,172,231,37,317,198,348,247,100,321,24,17,245,241,242,167,22,318,402,244,277
80,98,81,288,269,357,67,403,385,233,374,2,372,259,19,381,211,379,200,322,111,291,46,287,400,307,411,378,399,162
81,378,111,400,233,269,374,19,403,411,399,381,46,307,2,200,259,357,372,67,385,291,287,322,162,211,81,379,98,288
82,137,77,209,107,434,25,88,344,423,228,248,193,28,274,13,391,29,336,143,104,103,68,300,303,345,18,301,141,38
83,393,377,339,64,118,323,89,263,392,413,128,207,125,390,327,190,43,47,273,139,302,84,94,55,23,343,93,337,90
84,370,180,122,304,417,61,99,170,290,340,101,21,305,412,70,234,124,258,406,185,26,48,281,134,57,116,246,331,384
85,58,164,82,261,334,179,49,235,306,159,230,236,311,119,168,130,395,260,10,268,213,142,422,135,308,229,367,87,40
86,165,282,255,249,212,299,197,267,410,250,275,171,414,5,333,316,174,126,120,15,95,335,76,361,432,270,401,364,52
87,421,184,195,148,433,59,192,218,145,4,369,50,110,358,380,355,262,30,6,226,62,264,289,217,150,144,315,239,353
88,85,167,292,426,318,198,402,91,241,24,17,329,321,78,172,242,247,277,231,245,41,276,188,22,100,348,244,317,37
89,416,136,146,117,396,232,199,221,408,418,365,152,297,3,161,149,105,313,175,181,34,215,108,123,208,295,177,319,31
90,379,162,111,378,385,322,259,307,399,287,403,200,400,381,19,357,46,2,269,67,291,288,211,372,98,374,81,411,233
91,321,78,247,426,24,188,241,277,167,276,41,318,242,91,317,198,231,329,402,172,17,37,100,244,245,348,22,85,292
92,208,161,136,177,149,123,34,221,117,416,418,232,105,319,146,3,152,199,108,31,181,313,365,297,408,175,295,396,215
93,35,1,205,106,53,176,428,71,342,309,189,51,75,243,16,293,251,151,223,65,256,368,169,425,83,157,386,147,356
94,367,164,142,229,58,235,135,334,261,40,130,395,10,87,159,260,82,230,236,168,311,308,268,119,422,306,49,213,179
95,204,366,7,11,158,14,194,109,39,325,219,114,362,280,72,227,359,354,36,20,272,9,404,373,371,132,330,360,424
96,194,36,7,72,132,424,325,158,219,360,272,362,354,227,20,280,9,39,404,359,366,373,330,109,14,371,204,11,114
97,77,107,345,248,25,68,193,301,13,18,28,38,209,434,423,143,303,228,29,88,391,141,300,137,274,344,103,336,104
98,277,231,329,22,317,172,247,167,292,24,276,198,245,244,91,188,402,426,85,242,41,100,17,78,241,348,318,321,37
99,264,217,184,110,148,150,358,6,145,380,4,315,353,289,50,369,239,421,62,195,144,226,218,59,30,192,262,355,433
100,265,409,352,96,284,154,257,294,155,351,415,430,328,129,405,398,397,314,279,56,210,388,320,283,324,220,183,382,92
101,302,89,392,327,55,190,43,23,339,413,393,323,64,118,84,337,390,128,263,47,90,94,343,273,377,139,207,93,125
102,175,408,319,161,199,221,105,181,34,123,232,313,297,149,215,108,146,3,295,365,418,31,136,396,177,208,416,117,152
103,163,285,394,429,121,224,191,206,420,338,225,266,33,113,160,419,427,435,271,216,350,12,286,44,140,97,166,203,115
104,405,324,382,220,96,183,279,284,265,415,283,388,129,155,397,409,294,210,320,351,328,352,154,430,398,314,56,92,257
105,191,420,97,160,429,166,12,271,419,121,206,44,216,338,266,203,435,115,163,350,140,285,113,225,286,224,33,394,427
106,185,305,21,340,116,406,412,331,281,101,290,234,26,417,57,370,122,304,384,61,99,134,70,258,124,48,170,180,246
107,255,250,414,270,212,275,52,316,361,335,76,165,401,171,282,95,15,364,410,267,299,120,333,197,432,5,174,126,249
108,200,288,403,269,259,81,399,19,400,162,385,2,46,379,381,322,98,411,378,372,211,291,287,67,233,307,357,111,374
109,197,267,316,335,120,432,249,255,95,5,76,165,275,299,174,250,333,410,52,15,414,126,361,270,282,364,171,212,401
110,215,161,152,232,295,31,297,221,117,3,408,123,177,108,181,416,319,313,146,199,149,418,136,365,175,34,208,105,396
111,190,90,93,128,413,392,94,263,207,390,23,64,343,89,125,273,327,118,55,339,139,393,323,84,302,43,47,337,377
112,67,81,385,2,381,162,291,98,307,399,411,211,403,287,322,372,288,46,200,357,269,19,400,259,111,378,374,379,233
113,168,49,40,306,142,395,164,229,119,261,308,236,58,82,10,135,213,268,87,334,260,130,179,367,235,230,159,311,422
114,196,407,298,349,375,32,312,326,346,332,8,253,153,80,296,178,173,310,237,187,278,79,431,45,202,66,127,138,102
115,404,72,366,272,359,227,7,20,158,109,132,354,194,371,36,14,330,360,39,204,373,325,11,219,424,362,9,280,114
116,66,153,296,407,173,8,202,349,237,80,127,431,79,310,253,346,178,332,102,312,45,138,32,298,196,326,187,375,278
117,412,26,185,116,180,246,384,122,331,134,370,406,99,48,101,258,340,304,124,290,21,281,170,70,57,234,417,305,61
118,138,173,278,296,298,407,202,178,349,253,32,102,375,45,8,187,312,127,66,153,332,346,79,431,196,310,237,80,326
119,288,291,111,19,307,385,233,211,259,287,378,379,372,81,400,399,269,381,322,162,403,374,67,98,357,2,200,411,46
120,186,238,73,86,74,214,347,63,133,341,222,54,240,254,112,60,201,387,252,383,156,69,389,363,182,42,27,131,376
